"variable","label_en","r_class","var_type","n_valid","n_missing","pct_missing","n_categories","range","distribution"
"id_crianca","Child ID","character","identifier / free text",273,0,0,273,NA,"unique values not tabulated (likely ID / free text)"
"neps1.1","NEPS scale - item 1 - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=47; 2=15; 3=144; 4=26; 5=32"
"neps2.1","NEPS scale - item 2 (reverse-coded in analysis) - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=129; 2=48; 3=73; 4=4; 5=10"
"neps3.1","NEPS scale - item 3 - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=8; 2=13; 3=44; 4=41; 5=158"
"neps4.1","NEPS scale - item 4 (reverse-coded in analysis) - Mother","numeric","categorical (numeric-coded)",262,11,4,5,"1 - 5","1=52; 2=34; 3=125; 4=28; 5=23"
"neps5.1","NEPS scale - item 5 - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=4; 2=5; 3=33; 4=48; 5=174"
"neps6.1","NEPS scale - item 6 (reverse-coded in analysis) - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=4; 2=9; 3=34; 4=55; 5=162"
"neps7.1","NEPS scale - item 7 - Mother","numeric","categorical (numeric-coded)",262,11,4,5,"1 - 5","1=3; 2=4; 3=15; 4=29; 5=211"
"neps8.1","NEPS scale - item 8 (reverse-coded in analysis) - Mother","numeric","categorical (numeric-coded)",263,10,3.7,5,"1 - 5","1=119; 2=49; 3=70; 4=6; 5=19"
"neps9.1","NEPS scale - item 9 - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=7; 2=2; 3=59; 4=40; 5=156"
"neps10.1","NEPS scale - item 10 (reverse-coded in analysis) - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=92; 2=45; 3=90; 4=13; 5=24"
"neps11.1","NEPS scale - item 11 - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=30; 2=18; 3=107; 4=50; 5=59"
"neps12.1","NEPS scale - item 12 (reverse-coded in analysis) - Mother","numeric","categorical (numeric-coded)",261,12,4.4,5,"1 - 5","1=149; 2=30; 3=59; 4=8; 5=15"
"neps13.1","NEPS scale - item 13 - Mother","numeric","categorical (numeric-coded)",264,9,3.3,5,"1 - 5","1=8; 2=6; 3=60; 4=64; 5=126"
"neps14.1","NEPS scale - item 14 (reverse-coded in analysis) - Mother","numeric","categorical (numeric-coded)",263,10,3.7,5,"1 - 5","1=91; 2=38; 3=99; 4=15; 5=20"
"neps15.1","NEPS scale - item 15 - Mother","numeric","categorical (numeric-coded)",262,11,4,4,"1 - 5","1=8; 3=63; 4=54; 5=137"
"neps1.2","NEPS scale - item 1 - Father","numeric","categorical (numeric-coded)",226,47,17.2,5,"1 - 5","1=41; 2=20; 3=108; 4=22; 5=35"
"neps2.2","NEPS scale - item 2 (reverse-coded in analysis) - Father","numeric","categorical (numeric-coded)",226,47,17.2,5,"1 - 5","1=96; 2=42; 3=68; 4=10; 5=10"
